SDK 数据的标签如下所示， 包含两列， 分别为时间戳（秒） 和类别：
event_time_s,label
3.940000,pinch
6.580000,pinch
9.840000,pinch
13.060000,pinch
15.900000,pinch
20.100000,pinch
24.560000,pinch
28.320000,pinch
32.400000,pinch
36.380000,pinch
40.860000,pinch
44.440000,pinch
48.560000,pinch
52.300000,pinch
56.260000,pinch
60.600000,pinch
64.440000,pinch
68.360000,pinch
72.220000,pinch
75.300000,pinch
78.800000,pinch
82.180000,pinch
85.400000,pinch
88.800000,pinch
100.060000,clench
104.200000,clench
109.220000,clench
113.780000,clench
119.020000,clench
123.940000,clench
128.900000,clench
133.980000,clench
139.220000,clench
143.780000,clench
149.440000,clench
155.100000,clench
161.020000,clench
166.120000,clench
170.660000,clench
174.960000,clench
179.900000,clench
184.660000,clench
189.800000,clench
194.280000,clench
198.460000,clench
205.920000,up
209.380000,down
213.320000,up
217.060000,down
221.280000,up
224.980000,down
229.060000,up
232.980000,down
237.260000,up
242.380000,down
248.000000,up
252.160000,down
258.079000,up
262.700000,down
268.360000,up
272.600000,down
277.540000,up
282.580000,down
286.840000,up
290.600000,down
295.380000,up
300.600000,down
308.280000,up
313.120000,down
318.160000,up
321.700000,down
325.780000,up
329.720000,down
335.160000,up
338.700000,down
343.200000,up
346.840000,down
351.100000,up
355.060000,down
358.940000,up
364.020000,down
369.700000,up
373.200000,down
381.280000,up
385.440000,down
392.640000,up
395.520000,down
